test#,vincristine,mitoxantrone,etoposide,daunorubicin,cell viability
1,0,0,0,0,1.00 
2,0,0,0,9.375,0.90 
3,0,0,0,18.75,0.93 
4,0,0,0,75,0.90 
5,0,0,12.5,0,0.83 
6,0,0,12.5,9.375,0.84 
7,0,0,12.5,18.75,0.89 
8,0,0,12.5,75,0.86 
9,0,0,25,0,0.91 
10,0,0,25,9.375,0.96 
11,0,0,25,18.75,0.91 
12,0,0,25,75,0.89 
13,0,0,100,0,0.80 
14,0,0,100,9.375,0.80 
15,0,0,100,18.75,0.79 
16,0,0,100,75,0.77 
17,0,5,0,0,0.91 
18,0,5,0,9.375,0.88 
19,0,5,0,18.75,0.84 
20,0,5,0,75,0.86 
21,0,5,12.5,0,0.89 
22,0,5,12.5,9.375,0.90 
23,0,5,12.5,18.75,0.88 
24,0,5,12.5,75,0.84 
25,0,5,25,0,0.88 
26,0,5,25,9.375,0.86 
27,0,5,25,18.75,0.81 
28,0,5,25,75,0.82 
29,0,5,100,0,0.82 
30,0,5,100,9.375,0.83 
31,0,5,100,18.75,0.81 
32,0,5,100,75,0.75 
33,0,10,0,0,0.87 
34,0,10,0,9.375,0.90 
35,0,10,0,18.75,0.90 
36,0,10,0,75,0.78 
37,0,10,12.5,0,0.90 
38,0,10,12.5,9.375,0.89 
39,0,10,12.5,18.75,0.88 
40,0,10,12.5,75,0.94 
41,0,10,25,0,0.92 
42,0,10,25,9.375,0.93 
43,0,10,25,18.75,0.82 
44,0,10,25,75,0.80 
45,0,10,100,0,0.82 
46,0,10,100,9.375,0.80 
47,0,10,100,18.75,0.88 
48,0,10,100,75,0.76 
49,0,40,0,0,0.93 
50,0,40,0,9.375,0.92 
51,0,40,0,18.75,0.86 
52,0,40,0,75,0.84 
53,0,40,12.5,0,1.01 
54,0,40,12.5,9.375,0.83 
55,0,40,12.5,18.75,0.82 
56,0,40,12.5,75,0.79 
57,0,40,25,0,0.86 
58,0,40,25,9.375,0.85 
59,0,40,25,18.75,0.81 
60,0,40,25,75,0.77 
61,0,40,100,0,0.83 
62,0,40,100,9.375,0.82 
63,0,40,100,18.75,0.77 
64,0,40,100,75,0.73 
65,6.25,0,0,0,0.87 
66,6.25,0,0,9.375,0.92 
67,6.25,0,0,18.75,0.89 
68,6.25,0,0,75,0.87 
69,6.25,0,12.5,0,0.91 
70,6.25,0,12.5,9.375,0.91 
71,6.25,0,12.5,18.75,0.80 
72,6.25,0,12.5,75,0.79 
73,6.25,0,25,0,0.86 
74,6.25,0,25,9.375,0.87 
75,6.25,0,25,18.75,0.76 
76,6.25,0,25,75,0.78 
77,6.25,0,100,0,0.81 
78,6.25,0,100,9.375,0.77 
79,6.25,0,100,18.75,0.75 
80,6.25,0,100,75,0.70 
81,6.25,5,0,0,0.97 
82,6.25,5,0,9.375,0.98 
83,6.25,5,0,18.75,0.92 
84,6.25,5,0,75,0.85 
85,6.25,5,12.5,0,0.93 
86,6.25,5,12.5,9.375,0.93 
87,6.25,5,12.5,18.75,0.91 
88,6.25,5,12.5,75,0.80 
89,6.25,5,25,0,0.71 
90,6.25,5,25,9.375,0.82 
91,6.25,5,25,18.75,0.75 
92,6.25,5,25,75,0.66 
93,6.25,5,100,0,0.66 
94,6.25,5,100,9.375,0.62 
95,6.25,5,100,18.75,0.62 
96,6.25,5,100,75,0.56 
97,6.25,10,0,0,0.79 
98,6.25,10,0,9.375,0.84 
99,6.25,10,0,18.75,0.86 
100,6.25,10,0,75,0.73 
101,6.25,10,12.5,0,0.77 
102,6.25,10,12.5,9.375,0.88 
103,6.25,10,12.5,18.75,0.87 
104,6.25,10,12.5,75,0.77 
105,6.25,10,25,0,0.86 
106,6.25,10,25,9.375,0.84 
107,6.25,10,25,18.75,0.84 
108,6.25,10,25,75,0.68 
109,6.25,10,100,0,0.73 
110,6.25,10,100,9.375,0.75 
111,6.25,10,100,18.75,0.73 
112,6.25,10,100,75,0.63 
113,6.25,40,0,0,0.96 
114,6.25,40,0,9.375,0.92 
115,6.25,40,0,18.75,0.84 
116,6.25,40,0,75,0.78 
117,6.25,40,12.5,0,0.87 
118,6.25,40,12.5,9.375,0.85 
119,6.25,40,12.5,18.75,0.80 
120,6.25,40,12.5,75,0.74 
121,6.25,40,25,0,0.83 
122,6.25,40,25,9.375,0.89 
123,6.25,40,25,18.75,0.76 
124,6.25,40,25,75,0.79 
125,6.25,40,100,0,0.81 
126,6.25,40,100,9.375,0.78 
127,6.25,40,100,18.75,0.74 
128,6.25,40,100,75,0.68 
129,12.5,0,0,0,0.83 
130,12.5,0,0,9.375,0.84 
131,12.5,0,0,18.75,0.81 
132,12.5,0,0,75,0.75 
133,12.5,0,12.5,0,0.87 
134,12.5,0,12.5,9.375,0.91 
135,12.5,0,12.5,18.75,0.85 
136,12.5,0,12.5,75,0.78 
137,12.5,0,25,0,0.83 
138,12.5,0,25,9.375,0.84 
139,12.5,0,25,18.75,0.84 
140,12.5,0,25,75,0.66 
141,12.5,0,100,0,0.66 
142,12.5,0,100,9.375,0.65 
143,12.5,0,100,18.75,0.69 
144,12.5,0,100,75,0.63 
145,12.5,5,0,0,0.84 
146,12.5,5,0,9.375,0.81 
147,12.5,5,0,18.75,0.90 
148,12.5,5,0,75,0.69 
149,12.5,5,12.5,0,0.83 
150,12.5,5,12.5,9.375,0.88 
151,12.5,5,12.5,18.75,0.91 
152,12.5,5,12.5,75,0.73 
153,12.5,5,25,0,0.83 
154,12.5,5,25,9.375,0.79 
155,12.5,5,25,18.75,0.80 
156,12.5,5,25,75,0.63 
157,12.5,5,100,0,0.74 
158,12.5,5,100,9.375,0.75 
159,12.5,5,100,18.75,0.79 
160,12.5,5,100,75,0.56 
161,12.5,10,0,0,0.97 
162,12.5,10,0,9.375,0.91 
163,12.5,10,0,18.75,0.89 
164,12.5,10,0,75,0.78 
165,12.5,10,12.5,0,0.89 
166,12.5,10,12.5,9.375,0.89 
167,12.5,10,12.5,18.75,0.84 
168,12.5,10,12.5,75,0.65 
169,12.5,10,25,0,0.81 
170,12.5,10,25,9.375,0.83 
171,12.5,10,25,18.75,0.79 
172,12.5,10,25,75,0.67 
173,12.5,10,100,0,0.73 
174,12.5,10,100,9.375,0.73 
175,12.5,10,100,18.75,0.73 
176,12.5,10,100,75,0.60 
177,12.5,40,0,0,0.86 
178,12.5,40,0,9.375,0.80 
179,12.5,40,0,18.75,0.79 
180,12.5,40,0,75,0.73 
181,12.5,40,12.5,0,0.77 
182,12.5,40,12.5,9.375,0.82 
183,12.5,40,12.5,18.75,0.86 
184,12.5,40,12.5,75,0.68 
185,12.5,40,25,0,0.79 
186,12.5,40,25,9.375,0.96 
187,12.5,40,25,18.75,0.78 
188,12.5,40,25,75,0.72 
189,12.5,40,100,0,0.72 
190,12.5,40,100,9.375,0.71 
191,12.5,40,100,18.75,0.69 
192,12.5,40,100,75,0.65 
193,50,0,0,0,0.54 
194,50,0,0,9.375,0.58 
195,50,0,0,18.75,0.58 
196,50,0,0,75,0.59 
197,50,0,12.5,0,0.76 
198,50,0,12.5,9.375,0.74 
199,50,0,12.5,18.75,0.79 
200,50,0,12.5,75,0.62 
201,50,0,25,0,0.74 
202,50,0,25,9.375,0.75 
203,50,0,25,18.75,0.74 
204,50,0,25,75,0.65 
205,50,0,100,0,0.75 
206,50,0,100,9.375,0.73 
207,50,0,100,18.75,0.68 
208,50,0,100,75,0.64 
209,50,5,0,0,0.75 
210,50,5,0,9.375,0.69 
211,50,5,0,18.75,0.74 
212,50,5,0,75,0.67 
213,50,5,12.5,0,0.79 
214,50,5,12.5,9.375,0.81 
215,50,5,12.5,18.75,0.77 
216,50,5,12.5,75,0.67 
217,50,5,25,0,0.83 
218,50,5,25,9.375,0.75 
219,50,5,25,18.75,0.64 
220,50,5,25,75,0.60 
221,50,5,100,0,0.59 
222,50,5,100,9.375,0.56 
223,50,5,100,18.75,0.53 
224,50,5,100,75,0.46 
225,50,10,0,0,0.51 
226,50,10,0,9.375,0.58 
227,50,10,0,18.75,0.57 
228,50,10,0,75,0.54 
229,50,10,12.5,0,0.66 
230,50,10,12.5,9.375,0.68 
231,50,10,12.5,18.75,0.65 
232,50,10,12.5,75,0.58 
233,50,10,25,0,0.59 
234,50,10,25,9.375,0.63 
235,50,10,25,18.75,0.57 
236,50,10,25,75,0.50 
237,50,10,100,0,0.50 
238,50,10,100,9.375,0.50 
239,50,10,100,18.75,0.49 
240,50,10,100,75,0.42 
241,50,40,0,0,0.59 
242,50,40,0,9.375,0.61 
243,50,40,0,18.75,0.66 
244,50,40,0,75,0.53 
245,50,40,12.5,0,0.64 
246,50,40,12.5,9.375,0.70 
247,50,40,12.5,18.75,0.66 
248,50,40,12.5,75,0.51 
249,50,40,25,0,0.62 
250,50,40,25,9.375,0.55 
251,50,40,25,18.75,0.57 
252,50,40,25,75,0.47 
253,50,40,100,0,0.55 
254,50,40,100,9.375,0.53 
255,50,40,100,18.75,0.55 
256,50,40,100,75,0.47 
